Id, Name, Price, Image link, Author
1, Скотт Пілігрим береться за розум. Том 4, 390 , https://static.yakaboo.ua/media/cloudflare/product/webp/352x340/s/c/screenshot_3_16_36.jpg, Брайан Лі О'Меллі
2, Місто Гріхів (комплект із 2 книг), 580, https://static.yakaboo.ua/media/catalog/product/_/-/_-1_14_25.jpg, Френк Міллер
3, Людина-павук. Життєпис, 375, https://static.yakaboo.ua/media/catalog/product/1/d/1dd52727649c11ec9430309c23812764_1dd52728649c11ec9430309c23812764-600x800.jpg, Чип Здарски
10, Шибайголова. Людина без страху, 410, https://static.yakaboo.ua/media/catalog/product/0/e/0ea7a5bda74711eb9429309c23812764_eb383b9aa74711eb9429309c23812764-600x800.jpg, Френк Міллер
14, Шараз-Де, 690, https://static.yakaboo.ua/media/catalog/product/8/0/8083843fa74611eb9429309c23812764_0c4d96dea74811eb9429309c23812764-600x800.jpg, Серджо Топпі
16, Круто Зварений, 410, https://static.yakaboo.ua/media/cloudflare/product/webp/352x340/i/m/img_96636.jpg, Френк Міллер
19, Династія М, 410, https://static.yakaboo.ua/media/cloudflare/product/webp/352x340/i/m/img_77641.jpg, Браян Майкл Бендіс
25, Marvel 1602, 410, https://static.yakaboo.ua/media/cloudflare/product/webp/352x340/i/m/img_39715.jpg, Ніл Гейман
26, Громадянська війна, 410, https://static.yakaboo.ua/media/cloudflare/product/webp/352x340/i/m/img_12594.jpg, Марк Міллар
27, Росомаха. Старий Логан, 410, https://static.yakaboo.ua/media/cloudflare/product/webp/352x340/i/m/img_12604.jpg, Марк Міллар
33, Світ гри Death Stranding, 800, https://static.yakaboo.ua/media/cloudflare/product/webp/352x340/m/a/mal010.jpg, Хідео Коджіма
35, Рукавиця Нескінченності, 351, https://static.yakaboo.ua/media/cloudflare/product/webp/352x340/r/u/rukavitsya-neskinchennosti-17709706461298.png, Джим Старлін
